pupal wing branch ; FBbt:00002982 has changed name to pupal wing tracheal branch. The old name is not a synonym.
pupal spiracular branch 4 ; FBbt:00002979 has changed name to pupal spiracular tracheal branch 4. The old name is not a synonym.
lateral trunk anterior branch 7 ; FBbt:00000240 has changed name to tracheal lateral trunk anterior branch 7 primordium. The old name is not a synonym.
lateral G branch 8 ; FBbt:00000379 has changed name to larval lateral G tracheal branch 8. The old name is not a synonym.
non-functional spiracular branch ; FBbt:00000314 has changed name to non-functional spiracular tracheal branch. The old name is not a synonym.
primary trachea ; FBbt:00007472 has changed name to primary tracheal branch. The old name is a synonym.
adult abdominal dorsal branch 5 ; FBbt:00003057 has changed name to adult abdominal dorsal tracheal branch 5. The old name is not a synonym.
visceral branch 2 ; FBbt:00000297 has changed name to visceral tracheal branch 2. The old name is not a synonym.
dorsal superficial trachea 9 ; FBbt:00003089 has changed name to adult dorsal superficial tracheal branch 9. The old name is not a synonym.
adult leg trachea ; FBbt:00003092 has changed name to adult leg tracheal branch. The old name is a synonym.
lateral trunk posterior branch 8 ; FBbt:00000252 has changed name to tracheal lateral trunk posterior branch 8 primordium. The old name is not a synonym.
lateral H branch 8 ; FBbt:00000389 has changed name to larval lateral H tracheal branch 8. The old name is not a synonym.
dorsal trunk anterior branch 8 ; FBbt:00000220 has changed name to tracheal dorsal trunk anterior branch 8 primordium. The old name is not a synonym.
lateral E branch 6 ; FBbt:00000357 has changed name to larval lateral E tracheal branch 6. The old name is not a synonym.
embryonic/larval T2/3 dorsal sensory cluster ; FBbt:00007398 has changed name to larval thoracic dorsal sensory cluster. The old name is not a synonym.
ventral superficial trachea 7 ; FBbt:00111001 has changed name to adult ventral superficial tracheal branch 7. The old name is not a synonym.
tracheal branch of Tr1 ; FBbt:00000392 has changed name to larval tracheal branch of Tr1. The old name is not a synonym.
lateroposterior branch ; FBbt:00000402 has changed name to lateroposterior tracheal branch. The old name is not a synonym.
pupal ventral anastomosis ; FBbt:00002992 has changed name to pupal ventral tracheal anastomosis. The old name is not a synonym.
dorsal trunk posterior branch ; FBbt:00000223 has changed name to tracheal dorsal trunk posterior branch primordium. The old name is not a synonym.
ventral multidendritic neuron ; FBbt:00002054 has changed name to larval ventral cluster group multidendritic neuron. The old name is not a synonym.
pupal ganglionic branch 0 ; FBbt:00002989 has changed name to pupal ganglionic tracheal branch 0. The old name is not a synonym.
pupal dorsal trunk ; FBbt:00002957 has changed name to pupal tracheal dorsal trunk. The old name is not a synonym.
embryonic/larval ventral sensory cluster of A1-7 ; FBbt:00007309 has changed name to larval ventral sensory cluster group of A1-7. The old name is a synonym.
adult abdominal spiracular branch 7 ; FBbt:00003079 has changed name to adult abdominal spiracular tracheal branch 7. The old name is not a synonym.
pupal trachea ; FBbt:00002956 has changed name to pupal tracheal section. The old name is a synonym.
embryonic/larval ganglionic branch 9 ; FBbt:00000335 has changed name to embryonic/larval ganglionic tracheal branch 9. The old name is not a synonym.
pupal dorsal branch 5 ; FBbt:00002974 has changed name to pupal dorsal tracheal branch 5. The old name is not a synonym.
adult abdominal spiracular branch 6 ; FBbt:00003078 has changed name to adult abdominal spiracular tracheal branch 6. The old name is not a synonym.
visceral branch 8 ; FBbt:00000302 has changed name to visceral tracheal branch 8. The old name is not a synonym.
lateral E branch 5 ; FBbt:00000356 has changed name to larval lateral E tracheal branch 5. The old name is not a synonym.
embryonic/larval metathoracic ventral sensory cluster ; FBbt:00007308 has changed name to larval metathoracic ventral sensory cluster group. The old name is a substring of a synonym: embryonic/larval metathoracic ventral sensory cluster group
dorsal superficial trachea 4 ; FBbt:00003084 has changed name to adult dorsal superficial tracheal branch 4. The old name is not a synonym.
embryonic/larval dorsal branch ; FBbt:00000265 has changed name to embryonic/larval dorsal tracheal branch. The old name is not a synonym.
oviprotector ; FBbt:00004831 has been made obsolete. Suggested alternative term(s): oviprovector ; FBbt:00004926
pupal ganglionic branch ; FBbt:00002988 has changed name to pupal ganglionic tracheal branch. The old name is not a synonym.
lateral H branch 7 ; FBbt:00000388 has changed name to larval lateral H tracheal branch 7. The old name is not a synonym.
adult abdominal dorsal branch 9 ; FBbt:00003061 has changed name to adult abdominal dorsal tracheal branch 9. The old name is not a synonym.
embryonic/larval T2/3 lateral sensory cluster ; FBbt:00007399 has changed name to larval thoracic lateral sensory cluster. The old name is not a synonym.
lateral E branch 10 ; FBbt:00000361 has changed name to larval lateral E tracheal branch 10. The old name is not a synonym.
dorsal superficial trachea 8 ; FBbt:00003088 has changed name to adult dorsal superficial tracheal branch 8. The old name is not a synonym.
pupal leg trachea ; FBbt:00002984 has changed name to pupal leg tracheal branch. The old name is a synonym.
lateral H branch 3 ; FBbt:00000384 has changed name to larval lateral H tracheal branch 3. The old name is not a synonym.
pupal transverse connective 2 ; FBbt:00002961 has changed name to pupal tracheal transverse connective 2. The old name is not a synonym.
visceral branch primordium ; FBbt:00017003 has changed name to visceral tracheal branch primordium. The old name is not a synonym.
ganglionic branch primordium ; FBbt:00005591 has changed name to ganglionic tracheal branch primordium. The old name is not a synonym.
adult abdominal dorsal branch 4 ; FBbt:00003056 has changed name to adult abdominal dorsal tracheal branch 4. The old name is not a synonym.
embryonic/larval visceral branch ; FBbt:00000296 has changed name to embryonic/larval visceral tracheal branch. The old name is not a synonym.
lateral G branch 7 ; FBbt:00000378 has changed name to larval lateral G tracheal branch 7. The old name is not a synonym.
pupal spiracular branch 3 ; FBbt:00002978 has changed name to pupal spiracular tracheal branch 3. The old name is not a synonym.
dorsal trunk posterior branch 8 ; FBbt:00000231 has changed name to tracheal dorsal trunk posterior branch 8 primordium. The old name is not a synonym.
adult abdominal spiracular branch ; FBbt:00003074 has changed name to adult abdominal spiracular tracheal branch. The old name is not a synonym.
embryonic/larval metathoracic lateral sensory cluster ; FBbt:00007304 has changed name to larval metathoracic lateral sensory cluster. The old name is a synonym.
pupal pharyngeal branch ; FBbt:00002968 has changed name to pupal pharyngeal tracheal branch. The old name is not a synonym.
embryonic/larval dorsal group branch ; FBbt:00000285 has changed name to embryonic/larval dorsal group tracheal branch. The old name is not a synonym.
adult ganglionic branch 1 ; FBbt:00003064 has changed name to adult ganglionic tracheal branch 1. The old name is not a synonym.
adult abdominal spiracular branch 9 ; FBbt:00003081 has changed name to adult abdominal spiracular tracheal branch 9. The old name is not a synonym.
lateral F branch 7 ; FBbt:00000368 has changed name to larval lateral F tracheal branch 7. The old name is not a synonym.
des1 neuron ; FBbt:00002005 has been made obsolete. Suggested alternative term(s): larval DMSOh neuron ; FBbt:00052038, larval ALSOh neuron ; FBbt:00002608
pupal ventral branch ; FBbt:00012992 has changed name to pupal ventral tracheal branch. The old name is not a synonym.
larval lateral multidendritic neuron ldaB ; FBbt:00002032 has changed name to larval thoracic lateral multidendritic neuron ldaB. The old name is not a synonym.
cephalic branch primordium ; FBbt:00110661 has changed name to cephalic tracheal branch primordium. The old name is not a synonym.
lateral trunk anterior branch 5 ; FBbt:00000238 has changed name to tracheal lateral trunk anterior branch 5 primordium. The old name is not a synonym.
pupal dorsal branch 2 ; FBbt:00002971 has changed name to pupal dorsal tracheal branch 2. The old name is not a synonym.
dorsal trunk posterior branch 3 ; FBbt:00000226 has changed name to tracheal dorsal trunk posterior branch 3 primordium. The old name is not a synonym.
ventral superficial trachea ; FBbt:00110995 has changed name to adult ventral superficial tracheal branch. The old name is not a synonym.
lateral F branch 10 ; FBbt:00000371 has changed name to larval lateral F tracheal branch 10. The old name is not a synonym.
adult spiracular branch ; FBbt:00003071 has changed name to adult spiracular tracheal branch. The old name is not a synonym.
embryonic/larval dorsal sensory cluster of A1-7 ; FBbt:00007301 has changed name to larval dorsal sensory cluster of A1-7. The old name is a synonym.
lateral trunk anterior branch ; FBbt:00000234 has changed name to tracheal lateral trunk anterior branch primordium. The old name is not a synonym.
embryonic/larval dorsal branch 10 ; FBbt:00000275 has changed name to embryonic/larval dorsal tracheal branch 10. The old name is not a synonym.
lateral trunk posterior branch 2 ; FBbt:00000246 has changed name to tracheal lateral trunk posterior branch 2 primordium. The old name is not a synonym.
adult ventral anastomosis 1 ; FBbt:00003068 has changed name to adult ventral tracheal anastomosis 1. The old name is not a synonym.
lateral G branch 10 ; FBbt:00000381 has changed name to larval lateral G tracheal branch 10. The old name is not a synonym.
pupal abdominal trachea ; FBbt:00002981 has changed name to pupal abdominal tracheal branch. The old name is a synonym.
lateral F branch 3 ; FBbt:00000364 has changed name to larval lateral F tracheal branch 3. The old name is not a synonym.
adult ganglionic branch 2 ; FBbt:00003065 has changed name to adult ganglionic tracheal branch 2. The old name is not a synonym.
larval dorsal anastomosis 9 ; FBbt:00000284 has changed name to larval dorsal tracheal anastomosis 9. The old name is not a synonym.
inferior ventrolateral protocerebrum IVLP-VLP neuron ; FBbt:00110126 has changed name to wedge-ventrolateral protocerebrum neuron WED-VLP. The old name is a synonym.
embryonic/larval transverse connective 7 ; FBbt:00000261 has changed name to embryonic/larval tracheal transverse connective 7. The old name is not a synonym.
desn neuron ; FBbt:00002004 has been made obsolete. Suggested alternative term(s): larval DMSOp neuron ; FBbt:00002610
embryonic/larval ganglionic branch 5 ; FBbt:00000331 has changed name to embryonic/larval ganglionic tracheal branch 5. The old name is not a synonym.
embryonic/larval cerebral anastomosis ; FBbt:00000396 has changed name to embryonic/larval cerebral tracheal anastomosis. The old name is not a synonym.
larval lateral multidendritic neuron ldaC ; FBbt:00002033 has changed name to larval thoracic lateral multidendritic neuron ldaC. The old name is not a synonym.
larval dorsal anastomosis 3 ; FBbt:00000278 has changed name to larval dorsal tracheal anastomosis 3. The old name is not a synonym.
pupal ventral branch 0 ; FBbt:00012993 has changed name to pupal ventral tracheal branch 0. The old name is not a synonym.
embryonic/larval spiracular branch 4 ; FBbt:00000307 has changed name to embryonic/larval spiracular tracheal branch 4. The old name is not a synonym.
cervical trachea ; FBbt:00003096 has changed name to adult cervical trachea. The old name is not a synonym.
embryonic/larval transverse connective 2 ; FBbt:00000256 has changed name to embryonic/larval tracheal transverse connective 2. The old name is not a synonym.
des3+1 neuron ; FBbt:00002008 has been made obsolete. Suggested alternative term(s): larval PLSOh neuron ; FBbt:00002620
lateral trunk anterior branch 2 ; FBbt:00000235 has changed name to tracheal lateral trunk anterior branch 2 primordium. The old name is not a synonym.
ventral superficial trachea 4 ; FBbt:00110998 has changed name to adult ventral superficial tracheal branch 4. The old name is not a synonym.
embryonic/larval dorsal branch 9 ; FBbt:00000274 has changed name to embryonic/larval dorsal tracheal branch 9. The old name is not a synonym.
fat body branch primordium ; FBbt:00005595 has changed name to fat body tracheal branch primordium. The old name is not a synonym.
abdominal lateral multidendritic neuron ; FBbt:00007501 has changed name to larval abdominal lateral multidendritic neuron. The old name is not a synonym.
embryonic/larval prothoracic dorsal sensory cluster ; FBbt:00007299 has changed name to larval prothoracic dorsal sensory cluster. The old name is a synonym.
pupal cerebropharyngeal branch ; FBbt:00002965 has changed name to pupal cerebropharyngeal tracheal branch. The old name is not a synonym.
mesothoracic ventral multidendritic neuron ; FBbt:00002136 has changed name to mesothoracic ventral' multidendritic neuron. The old name is not a synonym.
dorsal trunk anterior branch 7 ; FBbt:00000219 has changed name to tracheal dorsal trunk anterior branch 7 primordium. The old name is not a synonym.
dorsal group branch 3 ; FBbt:00000288 has changed name to larval dorsal group tracheal branch 3. The old name is not a synonym.
lateral F branch 4 ; FBbt:00000365 has changed name to larval lateral F tracheal branch 4. The old name is not a synonym.
adult trachea ; FBbt:00003038 has changed name to adult tracheal section. The old name is a synonym.
embryonic/larval spiracular branch ; FBbt:00000303 has changed name to embryonic/larval spiracular tracheal branch. The old name is not a synonym.
lateral G branch 4 ; FBbt:00000375 has changed name to larval lateral G tracheal branch 4. The old name is not a synonym.
antennal mechanosensory and motor center B2 projection neuron ; FBbt:00110665 has changed name to antennal mechanosensory and motor center B2 neuron. The old name is not a synonym.
pupal spiracular branch ; FBbt:00002975 has changed name to pupal spiracular tracheal branch. The old name is not a synonym.
abdominal lateral multidendritic neuron ldaA ; FBbt:00002434 has changed name to larval abdominal lateral multidendritic neuron ldaA. The old name is not a synonym.
abdominal ventral bipolar neuron vbp ; FBbt:00002589 has changed name to abdominal ventral bipolar dendrite neuron vbd. The old name is not a synonym.
embryonic/larval ganglionic branch 8 ; FBbt:00000334 has changed name to embryonic/larval ganglionic tracheal branch 8. The old name is not a synonym.
visceral branch 6 ; FBbt:00000300 has changed name to visceral tracheal branch 6. The old name is not a synonym.
embryonic/larval transverse connective 10 ; FBbt:00000264 has changed name to embryonic/larval tracheal transverse connective 10. The old name is not a synonym.
dorsal superficial trachea 5 ; FBbt:00003085 has changed name to adult dorsal superficial tracheal branch 5. The old name is not a synonym.
larval dorsal anastomosis 6 ; FBbt:00000281 has changed name to larval dorsal tracheal anastomosis 6. The old name is not a synonym.
fat body branch 6 ; FBbt:00000346 has changed name to larval fat body tracheal branch 6. The old name is not a synonym.
embryonic/larval dorsal branch 3 ; FBbt:00000268 has changed name to embryonic/larval dorsal tracheal branch 3. The old name is not a synonym.
pupal prothoracic leg trachea ; FBbt:00002985 has changed name to pupal prothoracic leg tracheal branch. The old name is a synonym.
adult transverse connective 5 ; FBbt:00003046 has changed name to adult tracheal transverse connective 5. The old name is not a synonym.
lateral H branch 4 ; FBbt:00000385 has changed name to larval lateral H tracheal branch 4. The old name is not a synonym.
abdominal lateral multidendritic neuron ldaB ; FBbt:00002426 has changed name to larval abdominal lateral multidendritic neuron ldaB. The old name is not a synonym.
embryonic/larval ganglionic branch 0 ; FBbt:00000326 has changed name to embryonic/larval ganglionic tracheal branch 0. The old name is not a synonym.
embryonic/larval dorsal branch 6 ; FBbt:00000271 has changed name to embryonic/larval dorsal tracheal branch 6. The old name is not a synonym.
ventral anastomosis 1 ; FBbt:00000338 has changed name to larval ventral tracheal anastomosis 1. The old name is not a synonym.
embryonic/larval lateral sensory cluster of A1-7 ; FBbt:00007305 has changed name to larval lateral sensory cluster of A1-7. The old name is a synonym.
adult abdominal spiracular branch 3 ; FBbt:00003075 has changed name to adult abdominal spiracular tracheal branch 3. The old name is not a synonym.
