?cls	?def	?xrefs
<http://purl.obolibrary.org/obo/GO_0014064>	"Any process that activates or increases the frequency, rate or extent of the regulated release of serotonin."	
<http://purl.obolibrary.org/obo/FBbt_00002520>	"Any abdominal anterior ventral multidendritic neuron vdaa (FBbt:00002517) that has its soma located in some larval abdominal segment 3 (FBbt:00001750)."	"VFB:FBbt_00002520"
<http://purl.obolibrary.org/obo/FBbt_00100424>	"Larval olfactory receptor neuron (ORN) that expresses Or33b and Or47a and outputs to larval uniglomerular projection neuron 33b/47a in glomerulus 33b/47a."	"DoOR:Or47a DoOR:Or33b VFB:FBbt_00100424"
<http://purl.obolibrary.org/obo/FBbt_00111603>	"Any adult segment posterior compartment (FBbt:00111574) that is part of some abdominal segment 8 (FBbt:00000029)."	
<http://purl.obolibrary.org/obo/FBbt_20004500>	"Adult motor neuron of the CB0789 group, with its soma in the brain, ventral to the antennal mechanosensory and motor center (Schlegel et al., 2024; Dorkenwald et al., 2024). It is a putative embryonic-born neuron (Schlegel et al., 2024; Dorkenwald et al., 2024). It has postsynapses in the gnathal ganglia (Schlegel et al., 2024; Dorkenwald et al., 2024). Its predicted neurotransmitter is acetylcholine (Eckstein et al., 2024). There are approximately 2 of these cells per organism (Schlegel et al., 2024; Dorkenwald et al., 2024)."	"VFB:FBbt_20004500"
<http://purl.obolibrary.org/obo/FBbt_00049894>	"Any Notch OFF hemilineage neuron (FBbt:00049540) that develops from some neuroblast DALcm1 (FBbt:00100548)."	"VFB:FBbt_00049894"
<http://purl.obolibrary.org/obo/FBbt_00004710>	"Segment of the metathoracic leg. Proximally, it articulates with the coxa and distally with the femur."	"https://www.ento.csiro.au/biology/drosophila/melanogaster.html?metatrochanter"
<http://purl.obolibrary.org/obo/FBbt_00058378>	"The only lateral longitudinal muscle of the larval mesothoracic segment (Campos-Ortega and Hartenstein, 1997)."	
<http://purl.obolibrary.org/obo/FBbt_20008158>	"Adult ascending neuron of the ANXXX169 group with bilateral VNC arbors (Takemura et al., 2024; Marin et al., 2024). It is a primary neuron (Takemura et al., 2024; Marin et al., 2024). It exits the VNC via the cervical connective (Takemura et al., 2024; Marin et al., 2024). Within the VNC it fasciculates with the median dorsal abdominal tract (Takemura et al., 2024; Marin et al., 2024). It receives input in the abdominal neuromere (Takemura et al., 2024; Marin et al., 2024). Its predicted neurotransmitter is glutamate (Eckstein et al., 2024). There are approximately 10 of these cells per organism and their somas are found in the abdominal neuromere (Takemura et al., 2024; Marin et al., 2024)."	"VFB:FBbt_20008158"
<http://purl.obolibrary.org/obo/FBbt_20007964>	"Adult ascending neuron of the AN10B026 group with bilateral VNC arbors (Takemura et al., 2024; Marin et al., 2024). It is a secondary neuron of the 10B hemilineage (Takemura et al., 2024; Marin et al., 2024). It exits the VNC via the cervical connective (Takemura et al., 2024; Marin et al., 2024). It receives input in the T1 leg neuropil and sends output to the T1 leg neuropil (Takemura et al., 2024; Marin et al., 2024). Its predicted neurotransmitter is acetylcholine (Eckstein et al., 2024). There are approximately 2 of these cells per organism and their somas are found in the prothoracic neuromere (Takemura et al., 2024; Marin et al., 2024)."	"VFB:FBbt_20007964"
<http://purl.obolibrary.org/obo/FBbt_00004418>	"One of 4-5 elliptical socketed campaniform sensilla with a high profile (type 5) arranged in a diamond shape on the ventral side of the scabellum. It is around 4 micrometers in diameter."	"VFB:FBbt_00004418"
<http://purl.obolibrary.org/obo/FBbt_20001301>	"Adult neuron belonging to group 005 of the terra incognita neurons with substantial synapsing in the lateral accessory lobe (Scheffer et al., 2020). It has postsynaptic sites in the lateral accessory lobe, superior medial protocerebrum, lateral complex, superior neuropils and superior intermediate protocerebrum (Scheffer et al., 2020). It has presynaptic sites in the lateral accessory lobe and lateral complex (Scheffer et al., 2020)."	"VFB:FBbt_20001301"
<http://flybase.org/reports/FBgn0053527>		
<http://purl.obolibrary.org/obo/FBbt_00001901>	"Second most distal segment of the embryonic/larval Malpighian tubule."	
<http://purl.obolibrary.org/obo/FBbt_00000256>	"Any embryonic/larval tracheal transverse connective (FBbt:00000254) that is part of some tracheal metamere 2 (FBbt:00005027)."	
<http://purl.obolibrary.org/obo/FBbt_00005223>	"Specialized dendrite of scolopidial neuron. Its distal end is a cilium, surrounded by a scolopale and terminating in a dendritic cap."	"VFB:FBbt_00005223"
<http://purl.obolibrary.org/obo/FBbt_00002778>	"Monoscolopidial chordotonal organ of the ventral sensory cluster of the embryonic/larval metathoracic segment."	"VFB:FBbt_00002778"
<http://purl.obolibrary.org/obo/FBbt_00003749>	"Layers 1-6 of the medulla."	"VFB:FBbt_00003749"
<http://purl.obolibrary.org/obo/FBbt_20000388>	"Adult neuron belonging to group 279 of the terra incognita neurons with substantial synapsing in the anterior ventrolateral protocerebrum (Scheffer et al., 2020). It has postsynaptic sites in the superior lateral protocerebrum, posterior ventrolateral protocerebrum, anterior ventrolateral protocerebrum, ventrolateral neuropils and superior neuropils (Scheffer et al., 2020). It has presynaptic sites in the superior lateral protocerebrum, posterior ventrolateral protocerebrum, anterior ventrolateral protocerebrum, ventrolateral neuropils and superior neuropils (Scheffer et al., 2020)."	"VFB:FBbt_20000388"
<http://purl.obolibrary.org/obo/FBbt_20004531>	"Adult brain-intrinsic neuron of the CB0828 group, with its soma in the brain, posterior to the superior posterior slope (Schlegel et al., 2024; Dorkenwald et al., 2024). It is a putative embryonic-born neuron (Schlegel et al., 2024; Dorkenwald et al., 2024). It has postsynapses in the ipsilateral inferior bridge, the ipsilateral superior posterior slope, the contralateral inferior bridge and the contralateral superior posterior slope (Schlegel et al., 2024; Dorkenwald et al., 2024). It has presynapses in the contralateral inferior bridge and the contralateral superior posterior slope (Schlegel et al., 2024; Dorkenwald et al., 2024). Its predicted neurotransmitter is glutamate (Eckstein et al., 2024). There are approximately 2 of these cells per organism (Schlegel et al., 2024; Dorkenwald et al., 2024)."	"VFB:FBbt_20004531"
<http://purl.obolibrary.org/obo/FBbt_00000538>	"Any muscle cell (FBbt:00005074) that is part of some mesothoracic segment border muscle (FBbt:00058369)."	
<http://purl.obolibrary.org/obo/FBbt_00111318>	"Adult neuron that expresses CCAP (Crustacean cardioactive peptide) (FBgn0039007), whose soma is located in the subesophageal zone (Luan et al., 2006). There are 4 neurons in each hemisphere: one more anterior, 2 in a medial position and one more posterior (Luan et al., 2006). These neurons descend into the ventral nerve cord (Luan et al., 2006). They all undergo programmed cell death shortly after eclosion (Selcho et al., 2018)."	"VFB:FBbt_00111318"
<http://purl.obolibrary.org/obo/FBbt_20010713>	"Adult intrinsic neuron of the IN21A096 group (Takemura et al., 2024; Marin et al., 2024). It is a secondary neuron of the 21A hemilineage (Takemura et al., 2024; Marin et al., 2024). It receives input in the T1 leg neuropil and sends output to the T1 leg neuropil (Takemura et al., 2024; Marin et al., 2024). Its predicted neurotransmitter is glutamate (Eckstein et al., 2024). There are approximately 2 of these cells per organism and their somas are found in the prothoracic neuromere (Takemura et al., 2024; Marin et al., 2024)."	"VFB:FBbt_20010713"
<http://purl.obolibrary.org/obo/FBbt_00005228>	"Any abdominal ventral campaniform sensillum vc5 (FBbt:00002903) that is part of some abdominal segment 5 (FBbt:00000026)."	"VFB:FBbt_00005228"
<http://purl.obolibrary.org/obo/FBbt_20008867>	"Adult intrinsic neuron of the IN03A092 group with ipsilateral arbors in a single VNC neuromere (Takemura et al., 2024; Marin et al., 2024). It is a secondary neuron of the 03A hemilineage (Takemura et al., 2024; Marin et al., 2024). It receives input in the T3 leg neuropil and sends output to the T3 leg neuropil (Takemura et al., 2024; Marin et al., 2024). Its predicted neurotransmitter is acetylcholine (Eckstein et al., 2024). There are approximately 7 of these cells per organism and their somas are found in the metathoracic neuromere (Takemura et al., 2024; Marin et al., 2024)."	"VFB:FBbt_20008867"
<http://purl.obolibrary.org/obo/FBbt_00007138>	"A male germline cyst consisting of 2 cyst cells and one primary spermatogonial cell. The latter is the mitotic founder of a cyst of secondary spermatogonia. Following 4 mitotic divisions, the spermatogonial cyst becomes a primary spermatocyte cyst."	
<http://purl.obolibrary.org/obo/FBbt_00005516>	"Primordium of the late extended germ band and dorsal closure embryo that will give rise to the embryonic precursor of the adult muscle."	
<http://purl.obolibrary.org/obo/FBbt_00059133>	"Second-most dorsal of the dorsal oblique muscles."	
<http://purl.obolibrary.org/obo/FBbt_00100366>	"The main part of the lamina that does not contain the terminals of photoreceptors from dorsal rim ommatidia."	"VFB:FBbt_00100366"
<http://purl.obolibrary.org/obo/FBbt_20005515>	"Adult brain-intrinsic neuron of the CB1920 group, with its soma in the brain, near to the accessory medulla (Schlegel et al., 2024; Dorkenwald et al., 2024). It belongs to the VLPl&p1 lateral hemilineage (Schlegel et al., 2024; Dorkenwald et al., 2024). It has postsynapses in the ipsilateral posterior ventrolateral protocerebrum and the ipsilateral anterior ventrolateral protocerebrum (Schlegel et al., 2024; Dorkenwald et al., 2024). It has presynapses in the ipsilateral anterior ventrolateral protocerebrum (Schlegel et al., 2024; Dorkenwald et al., 2024). Its predicted neurotransmitter is acetylcholine (Eckstein et al., 2024). There are approximately 10 of these cells per organism (Schlegel et al., 2024; Dorkenwald et al., 2024)."	"VFB:FBbt_20005515"
<http://purl.obolibrary.org/obo/FBbt_20006582>	"Adult brain-intrinsic neuron of the CB3088 group, with its soma in the brain, dorsal to the mushroom body calyx (Schlegel et al., 2024; Dorkenwald et al., 2024). It belongs to the LHd2 hemilineage (Schlegel et al., 2024; Dorkenwald et al., 2024). It has postsynapses in the ipsilateral superior lateral protocerebrum (Schlegel et al., 2024; Dorkenwald et al., 2024). It has presynapses in the ipsilateral superior lateral protocerebrum (Schlegel et al., 2024; Dorkenwald et al., 2024). Its predicted neurotransmitter is glutamate (Eckstein et al., 2024). There are approximately 2 of these cells per organism (Schlegel et al., 2024; Dorkenwald et al., 2024)."	"VFB:FBbt_20006582"
<http://purl.obolibrary.org/obo/FBbt_00049356>	"Adult lateral horn output neuron of the AV4c1 group that fasciculates with the AV4 primary neurite tract (Frechter et al., 2019; Dolan et al., 2019). It is a secondary neuron that is part of the BLD4 (LHl1) lateral hemilineage (Bates et al., 2020). There are approximately five of these cells per hemisphere and they are GABAergic (Dolan et al., 2019; Schlegel et al., 2021)."	"VFB:FBbt_00049356"
<http://purl.obolibrary.org/obo/FBbt_00110490>	"A clone of neurons in the adult brain that expresses fruitless, all of which develop from neuroblast DM5."	
<http://purl.obolibrary.org/obo/FBbt_00003204>	"Any adult ventral oenocyte band (FBbt:00003202) that is part of some abdominal segment 3 (FBbt:00000024)."	
<http://purl.obolibrary.org/obo/FBbt_20003388>	"Adult brain-intrinsic neuron of the SMP526 group, with its soma in the brain, posterior to the antler (Schlegel et al., 2024; Dorkenwald et al., 2024). It belongs to the DM3 dorso medial hemilineage (Schlegel et al., 2024; Dorkenwald et al., 2024). It has postsynapses in the contralateral superior medial protocerebrum, the ipsilateral superior medial protocerebrum, the ipsilateral superior intermediate protocerebrum and the ipsilateral superior lateral protocerebrum (Schlegel et al., 2024; Dorkenwald et al., 2024). It has presynapses in the contralateral superior medial protocerebrum and the ipsilateral superior medial protocerebrum (Schlegel et al., 2024; Dorkenwald et al., 2024). Its predicted neurotransmitter is acetylcholine (Eckstein et al., 2024). There are approximately 2 of these cells per organism (Schlegel et al., 2024; Dorkenwald et al., 2024)."	"VFB:FBbt_20003388"
<http://purl.obolibrary.org/obo/FBbt_00047243>	"Any muscle cell (FBbt:00005074) that is part of some dorsal ventral indirect flight muscle (FBbt:00059069)."	
<http://purl.obolibrary.org/obo/FBbt_00111744>	"Sublayer of the lobula layer 5 that is most proximal to layer 6."	"VFB:FBbt_00111744"
<http://purl.obolibrary.org/obo/FBbt_20000118>	"Adult brain-intrinsic neuron of the AVLP009 group, with its soma in the brain, lateral to the lateral horn (Schlegel et al., 2024; Dorkenwald et al., 2024). It belongs to the LHl1 hemilineage (Schlegel et al., 2024; Dorkenwald et al., 2024). It has postsynapses in the ipsilateral anterior ventrolateral protocerebrum and the ipsilateral posterior ventrolateral protocerebrum (Schlegel et al., 2024; Dorkenwald et al., 2024). It has presynapses in the ipsilateral anterior ventrolateral protocerebrum, the ipsilateral superior intermediate protocerebrum and the contralateral superior intermediate protocerebrum (Schlegel et al., 2024; Dorkenwald et al., 2024). Its predicted neurotransmitter is gaba (Eckstein et al., 2024). There are approximately 2 of these cells per organism (Schlegel et al., 2024; Dorkenwald et al., 2024)."	"VFB:FBbt_20000118"
<http://purl.obolibrary.org/obo/FBbt_00005751>	"Floor of the pharynx."	
<http://purl.obolibrary.org/obo/FBbt_00111277>	"Distal medullary wide-field amacrine neuron whose cell body is located in the cell body rind of the medulla. Its primary neurite branches in both the M1/M2 and M2/M3 boundary regions. The arbor is elongated along the dorsal-ventral axis, with higher arbor density located at the dorsal end of the cell. The arbor is located in a peripheral columnar position. There are around 100 Dm16 neurons per hemisphere."	"VFB:FBbt_00111277"
<http://purl.obolibrary.org/obo/FBbt_00049574>	"Mechanosensory neuron that relays input from a campaniform sensillum in the leg to the ipsilateral thoracic neuromere of its leg of origin only (Phelps et al., 2021)."	"VFB:FBbt_00049574"
<http://purl.obolibrary.org/obo/FBbt_00058515>	"Any dorsal oblique muscle 3 (FBbt:00059135) that is part of some abdominal segment 2 (FBbt:00000023)."	
<http://purl.obolibrary.org/obo/FBbt_00001407>		
<http://purl.obolibrary.org/obo/FBbt_00049774>	"Adult uniglomerular antennal lobe projection neuron from the ALv1 (BAla1) lineage with dendrites that mainly innervate antennal lobe glomerulus DL2v (Bates et al., 2020). There is one of these per hemisphere, it fasciculates with the mediolateral antennal lobe tract and it is GABAergic (Bates et al., 2020)."	"VFB:FBbt_00049774"
<http://purl.obolibrary.org/obo/FBbt_20010655>	"Adult intrinsic neuron of the IN21A038 group with ipsilateral arbors in a single VNC neuromere (Takemura et al., 2024; Marin et al., 2024). It is a secondary neuron of the 21A hemilineage (Takemura et al., 2024; Marin et al., 2024). It receives input in the leg neuropil and sends output to the leg neuropil (Takemura et al., 2024; Marin et al., 2024). Its predicted neurotransmitter is glutamate (Eckstein et al., 2024). There are approximately 6 of these cells per organism and their somas are found in the mesothoracic neuromere, metathoracic neuromere and prothoracic neuromere (Takemura et al., 2024; Marin et al., 2024)."	"VFB:FBbt_20010655"
<http://purl.obolibrary.org/obo/FBbt_20006200>	"Adult brain-intrinsic neuron of the CB2670 group, with its soma in the brain, posterior to the superior posterior slope (Schlegel et al., 2024; Dorkenwald et al., 2024). It belongs to the DM6 posterior hemilineage (Schlegel et al., 2024; Dorkenwald et al., 2024). It has postsynapses in the contralateral inferior clamp, the contralateral superior clamp and the contralateral posterior lateral protocerebrum (Schlegel et al., 2024; Dorkenwald et al., 2024). It has presynapses in the contralateral inferior clamp and the contralateral superior clamp (Schlegel et al., 2024; Dorkenwald et al., 2024). Its predicted neurotransmitter is glutamate (Eckstein et al., 2024). There are approximately 3 of these cells per organism (Schlegel et al., 2024; Dorkenwald et al., 2024)."	"VFB:FBbt_20006200"
<http://purl.obolibrary.org/obo/FBbt_00003677>	"The most lateral slice of the protocerebral bridge of the adult brain."	"VFB:FBbt_00003677"
<http://purl.obolibrary.org/obo/FBbt_00003814>	"Transmedullary wide-field neuron that terminates in lobula layer 5 with both fine and bleb-type arborizations. It displays fine arborizations in medulla layers M2, M3, M4, M5, M6, the serpentine layer, M8 and M9, and has bleb-type arborizations in layer M8 (Morante and Desplan, 2008; Fischbach and Dittrich, 1989)."	"FlyBrain_NDB:10151 VFB:FBbt_00003814"
<http://purl.obolibrary.org/obo/FBbt_20003728>	"Adult neuron belonging to group 178 of the terra incognita neurons with substantial synapsing in the wedge (Scheffer et al., 2020). It has postsynaptic sites in the lateral accessory lobe, lateral complex, ventrolateral neuropils and wedge (Scheffer et al., 2020)."	"VFB:FBbt_20003728"
<http://purl.obolibrary.org/obo/FBbt_20000240>	"Adult neuron belonging to group 131 of the terra incognita neurons with substantial synapsing in the anterior ventrolateral protocerebrum (Scheffer et al., 2020). It has postsynaptic sites in the inferior neuropils, anterior ventrolateral protocerebrum, superior clamp, inferior clamp and ventrolateral neuropils (Scheffer et al., 2020). It has presynaptic sites in the inferior neuropils, anterior ventrolateral protocerebrum, superior clamp, inferior clamp and ventrolateral neuropils (Scheffer et al., 2020)."	"VFB:FBbt_20000240"
<http://purl.obolibrary.org/obo/FBbt_00047217>	"Neuron of the larval pars intercerebralis (PI) that expresses SIFamide (SIFa) (Park et al., 2008). There are two of these cells per hemisphere (Park et al., 2008). These cells are distinct from the PI neurons that express insulin like peptides, diuretic hormone 44 and dromyosuppressin (Park et al., 2008). All of these neurons have a major axon which projects to the contralateral side and extends into the ventral nerve cord, while a minor one projects to the deutocerebrum and tritocerebrum (Terhzaz et al., 2007)."	"VFB:FBbt_00047217"
<http://purl.obolibrary.org/obo/FBbt_20002654>	"Adult neuron belonging to group 260 of the terra incognita neurons with substantial synapsing in the superior lateral protocerebrum (Scheffer et al., 2020). It has postsynaptic sites in the lateral horn, superior lateral protocerebrum, superior neuropils and superior intermediate protocerebrum (Scheffer et al., 2020). It has presynaptic sites in the superior lateral protocerebrum and superior neuropils (Scheffer et al., 2020)."	"VFB:FBbt_20002654"
<http://purl.obolibrary.org/obo/FBbt_20001080>	"Adult brain-intrinsic neuron of the CRE011 group, with its soma in the brain, anterior to the mushroom body medial lobe (Schlegel et al., 2024; Dorkenwald et al., 2024). It is a putative embryonic-born neuron (Schlegel et al., 2024; Dorkenwald et al., 2024). It has postsynapses in the ipsilateral superior medial protocerebrum and the ipsilateral crepine (Schlegel et al., 2024; Dorkenwald et al., 2024). It has presynapses in the ipsilateral lateral accessory lobe, the ipsilateral crepine, the ipsilateral superior medial protocerebrum, the contralateral lateral accessory lobe, the ipsilateral lateral horn, the ipsilateral superior intermediate protocerebrum, the ipsilateral antler and the ipsilateral antennal lobe (Schlegel et al., 2024; Dorkenwald et al., 2024). Its predicted neurotransmitter is acetylcholine (Eckstein et al., 2024). There are approximately 2 of these cells per organism (Schlegel et al., 2024; Dorkenwald et al., 2024)."	"VFB:FBbt_20001080"
<http://purl.obolibrary.org/obo/FBbt_20004223>	"Adult brain-intrinsic neuron of the CB0458 group, with its soma in the brain, ventral to the antennal lobe (Schlegel et al., 2024; Dorkenwald et al., 2024). It is a putative embryonic-born neuron (Schlegel et al., 2024; Dorkenwald et al., 2024). It has postsynapses in the gnathal ganglia and the saddle (Schlegel et al., 2024; Dorkenwald et al., 2024). It has presynapses in the gnathal ganglia, the ipsilateral flange and the saddle (Schlegel et al., 2024; Dorkenwald et al., 2024). Its predicted neurotransmitter is acetylcholine (Eckstein et al., 2024). There are approximately 2 of these cells per organism (Schlegel et al., 2024; Dorkenwald et al., 2024)."	"VFB:FBbt_20004223"
<http://purl.obolibrary.org/obo/FBbt_00049639>	"Adult antennal lobe glomerulus dorsal to VP1l and VP1m (Marin et al., 2020). It receives sensory input from Ir40 neurons of sacculus chamber II (Marin et al., 2020)."	"VFB:FBbt_00049639"
<http://purl.obolibrary.org/obo/FBbt_20007897>	"Adult ascending neuron of the AN08B084 group with bilateral VNC arbors (Takemura et al., 2024; Marin et al., 2024). It is a secondary neuron of the 08B hemilineage (Takemura et al., 2024; Marin et al., 2024). It exits the VNC via the cervical connective (Takemura et al., 2024; Marin et al., 2024). Within the VNC it fasciculates with the dorsal lateral tract of ventral cervical fasciculus (Takemura et al., 2024; Marin et al., 2024). It receives input in multiple regions and sends output to multiple regions (Takemura et al., 2024; Marin et al., 2024). Its predicted neurotransmitter is acetylcholine (Eckstein et al., 2024). There are approximately 4 of these cells per organism and their somas are found in the prothoracic neuromere (Takemura et al., 2024; Marin et al., 2024)."	"VFB:FBbt_20007897"
<http://purl.obolibrary.org/obo/FBbt_20010281>	"Adult intrinsic neuron of the IN17B004 group with ipsilateral arbors in multiple VNC neuromeres (Takemura et al., 2024; Marin et al., 2024). It is a primary neuron of the 17B hemilineage (Takemura et al., 2024; Marin et al., 2024). It receives input in multiple regions and sends output to multiple regions (Takemura et al., 2024; Marin et al., 2024). Its predicted neurotransmitter is gaba (Eckstein et al., 2024). There are approximately 4 of these cells per organism and their somas are found in the mesothoracic neuromere and metathoracic neuromere (Takemura et al., 2024; Marin et al., 2024)."	"VFB:FBbt_20010281"
<http://purl.obolibrary.org/obo/FBbt_00049761>	"Adult uniglomerular antennal lobe projection neuron from the ALlv1 (BAlp4) lineage with dendrites that mainly innervate antennal lobe glomerulus VM6 in both hemispheres (Bates et al., 2020; Marin et al., 2020). It receives primarily olfactory input (Marin et al., 2020). It fasciculates with the ipsilateral medial antennal lobe tract to innervate the lateral horn (Marin et al., 2020). There are approximately two of these cells per hemisphere and they are cholinergic (Bates et al., 2020; Marin et al., 2020)."	"VFB:FBbt_00049761"
<http://purl.obolibrary.org/obo/FBbt_00049329>	"Adult lateral horn output neuron of the AD3b1 group that fasciculates with the AD3 primary neurite tract (Dolan et al., 2019). It is part of the DPLd (LHd1) lineage and it is cholinergic (Dolan et al., 2019; Schlegel et al., 2021)."	"VFB:FBbt_00049329"
<http://purl.obolibrary.org/obo/FBbt_00001373>	"Neuroblast NB1-1 found in an abdominal segment. It generates subperineurial glia as well as neurons (Schmid et al., 1999; Beckervordersandforth et al., 2008). It is a type II neuroglioblast and its glial progeny are part of its Notch ON hemilineage (Udolph et al., 2001). It does not produce a secondary lineage (Lacin and Truman, 2016)."	"VFB:FBbt_00001373"
<http://purl.obolibrary.org/obo/FBbt_00007562>	"Any adult protocerebral bridge 1 glomerulus-fan-shaped body-nodulus neuron (FBbt:00003634) that receives synaptic input throughout some protocerebral bridge glomerulus 6 (FBbt:00003674)."	"VFB:FBbt_00007562"
<http://purl.obolibrary.org/obo/FBbt_00004051>	"Nerve of the adult that exits the stomodeal ganglion posteriorly to innervate the salivary glands. There are two of these."	"VFB:FBbt_00004051"
<http://purl.obolibrary.org/obo/FBbt_20007286>	"Adult descending neuron of the DNde007 group, with its soma in the brain, medial to the mushroom body medial lobe (Schlegel et al., 2024; Dorkenwald et al., 2024). It is a putative embryonic-born neuron (Schlegel et al., 2024; Dorkenwald et al., 2024). It has postsynapses in the gnathal ganglia, the contralateral flange, the prow and the contralateral superior medial protocerebrum (Schlegel et al., 2024; Dorkenwald et al., 2024). It has presynapses in the gnathal ganglia (Schlegel et al., 2024; Dorkenwald et al., 2024). Its predicted neurotransmitter is glutamate (Eckstein et al., 2024). There are approximately 2 of these cells per organism (Schlegel et al., 2024; Dorkenwald et al., 2024)."	"VFB:FBbt_20007286"
<http://purl.obolibrary.org/obo/FBbt_00051728>	"Adult lateral horn output neuron of the AV5a7 group that fasciculates with the AV3 primary neurite tract (Schlegel et al., 2021)."	"VFB:FBbt_00051728"
<http://purl.obolibrary.org/obo/FBbt_20005909>	"Adult brain-intrinsic neuron of the CB2351 group, with its soma in the brain, posterior to the gnathal ganglia (Schlegel et al., 2024; Dorkenwald et al., 2024). It belongs to the LB3 hemilineage (Schlegel et al., 2024; Dorkenwald et al., 2024). It has postsynapses in the ipsilateral inferior posterior slope and the gnathal ganglia (Schlegel et al., 2024; Dorkenwald et al., 2024). It has presynapses in the ipsilateral antennal mechanosensory and motor center and the saddle (Schlegel et al., 2024; Dorkenwald et al., 2024). There are approximately 3 of these cells per organism (Schlegel et al., 2024; Dorkenwald et al., 2024)."	"VFB:FBbt_20005909"
<http://purl.obolibrary.org/obo/FBbt_00007670>	"One of the terminal branches of the antennal nerve in the antenna. One branch goes to the Johnston's organ in the second antennal segment. In the third antennal segment, the nerve splits into 3 major branches, which further ramify to innervate the external sensory organs of this segment."	"VFB:FBbt_00007670"
<http://purl.obolibrary.org/obo/FBbt_00059089>	"Muscle that inserts on the adult cibarium between proboscis muscles 11 dorsal and 12 dorsal (McKellar et al., 2020). It is positioned to open the pharynx as it contracts (McKellar et al., 2020). It is synapsed by the proboscis muscle 11 ventral motor neuron (McKellar et al., 2020)."	
<http://purl.obolibrary.org/obo/FBbt_00058707>	"Any lateral transverse muscle 3 (FBbt:00059145) that is part of some abdominal segment 6 (FBbt:00000027)."	
<http://purl.obolibrary.org/obo/FBbt_00003191>	"Any adult dorsal oenocyte band (FBbt:00003186) that is part of some abdominal segment 5 (FBbt:00000026)."	
<http://purl.obolibrary.org/obo/FBbt_20005069>	"Adult brain-intrinsic neuron of the CB1423 group, with its soma in the brain, ventral to the antennal lobe (Schlegel et al., 2024; Dorkenwald et al., 2024). It belongs to the FLAa3 hemilineage (Schlegel et al., 2024; Dorkenwald et al., 2024). It has postsynapses in the ipsilateral flange and the ipsilateral superior medial protocerebrum (Schlegel et al., 2024; Dorkenwald et al., 2024). It has presynapses in the ipsilateral superior medial protocerebrum, the contralateral superior medial protocerebrum and the ipsilateral flange (Schlegel et al., 2024; Dorkenwald et al., 2024). There are approximately 12 of these cells per organism (Schlegel et al., 2024; Dorkenwald et al., 2024)."	"VFB:FBbt_20005069"
<http://purl.obolibrary.org/obo/FBbt_00051304>	"Neuron that relays nociceptive (pain) information from one or more sensory neuropil regions to one or more higher brain centers."	"VFB:FBbt_00051304"
<http://purl.obolibrary.org/obo/FBbt_00051927>	"Adult interneuron with its soma in the lateral gnathal ganglion (Sterne et al., 2021). It has both dendritic and axonal arborization in the gnathal ganglion, with polarized synapse distribution within this region (Sterne et al., 2021). It is bilateral, but most of its innervation is in the ipsilateral hemisphere (Sterne et al., 2021). It receives input from water- and sugar-sensing gustatory neurons and responds to both sugar and water stimuli (Shiu et al., 2022). Its activation results in proboscis extension (Shiu et al., 2022). It is predicted to be a GABAergic (Shiu et al., 2022) primary neuron (Dorkenwald et al., 2024; Schlegel et al., 2024). There is one of these cells on each side (Dorkenwald et al., 2024; Schlegel et al., 2024)."	"VFB:FBbt_00051927"
<http://purl.obolibrary.org/obo/FBbt_20000628>	"Adult brain-intrinsic neuron of the AVLP519 group, with its soma in the brain, posterior to the inferior posterior slope (Schlegel et al., 2024; Dorkenwald et al., 2024). It belongs to the VLPl&p2 posterior hemilineage (Schlegel et al., 2024; Dorkenwald et al., 2024). It has postsynapses in the ipsilateral anterior ventrolateral protocerebrum and the ipsilateral posterior ventrolateral protocerebrum (Schlegel et al., 2024; Dorkenwald et al., 2024). It has presynapses in the ipsilateral anterior ventrolateral protocerebrum and the ipsilateral posterior ventrolateral protocerebrum (Schlegel et al., 2024; Dorkenwald et al., 2024). Its predicted neurotransmitter is acetylcholine (Eckstein et al., 2024). There are approximately 4 of these cells per organism (Schlegel et al., 2024; Dorkenwald et al., 2024)."	"VFB:FBbt_20000628"
<http://purl.obolibrary.org/obo/FBbt_00051114>	"Bilateral neuron of the LBA23 group of the adult ventral nerve cord that primarily arborizes in the leg neuropil (Feng et al. 2020; Ehrhardt et al., 2023). It is an ascending neuron (Feng et al. 2020; Ehrhardt et al., 2023). It has its soma in the prothoracic neuromere (Feng et al., 2020). It is strongly excited downstream of moonwalker descending neuron activity (Feng et al., 2020). There is 1 of these cells per hemineuromere (Feng et al., 2020)."	"VFB:FBbt_00051114"
<http://purl.obolibrary.org/obo/FBbt_00048003>	"Immature neuron of the eye disc that will develop into a photoreceptor cell R1 of the adult eye. It forms during the second mitotic wave and joins the precursor cells of the five-cell ommatidial precursor cluster to form the eight-cell ommatidial precursor cluster."	"VFB:FBbt_00048003"
<http://purl.obolibrary.org/obo/FBbt_00110245>		
